cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
224,0,0,0,2390,6795.4163516,93.01716412467681,1167.0669955648534,1146.5729630962342,128.8875187759318
225,0,0,0,3634,10332.44477896,114.69820088547266,1239.9500004402862,1149.712316070446,36.18052187967308
226,0,0,0,4821,13707.40679124,132.10909273164393,491.79224430616057,1267.8128928852934,395.95211917920636
227,0,0,0,3599,10232.93031356,114.14452038422073,2238.479928757988,1152.515123145318,179.4668053651098
228,0,0,0,5577,15856.91924388,142.090311559163,366.4732112963959,1202.4335435897435,31.91396199374021
229,0,0,0,2445,6951.7962258,94.08135767318207,1971.5802121063396,1138.5925845398772,155.09419682922032
230,0,0,0,4637,13184.245030279999,129.5635062046043,1536.0936541729566,1187.5128046150528,112.29696830990977
231,0,0,0,4497,12786.18716868,127.59262960511748,1433.1575116744496,1204.4601217255947,377.7727839610812
232,0,0,0,5032,14307.33685408,134.9691337397608,267.7599815580286,1192.412481597774,17.238454139927356
233,0,0,0,8986,25549.62817384,180.3629589029098,1062.9194195192522,1263.9466973514354,1853.868209972146
235,0,0,0,3131,8902.27974764,106.46471064625223,437.70919227084,1199.0556890450334,17.722132075562158
236,0,0,0,2105,5985.0842762,87.29516583998492,1869.8043502137766,1248.6306994774347,56.200905208162894
237,0,0,0,14636,41614.10615984,230.1841123568597,733.0416937414593,1407.4923154277126,1655.7848385231455
238,0,0,0,4012,11407.20100528,120.51597161648408,890.1896147058823,1235.516397906281,814.0266955862223
239,0,0,0,5562,15814.270187279999,141.89909856504107,2544.500659475009,1283.9694500539374,1429.2356911290346
240,0,0,0,7132,20278.20477808,160.6829555979382,2199.421639007291,1427.1569339315758,1163.0764654591298
241,0,0,0,7857,22339.57584708,168.6523980888288,2021.6447775232275,1298.4190683466973,958.9304394517055
242,0,0,0,4013,11410.04427572,120.5309901188312,490.9333693496137,1324.8145235983054,257.20490948648137
243,0,0,0,2664,7574.47245216,98.2044696365559,1319.2609796546546,1265.1069956456456,145.60857352284717
244,0,0,0,4982,14165.17333208,134.29690556536366,1782.355368847852,1301.8394760738659,595.0235146003735
245,0,0,0,2736,7779.18792384,99.52270942131408,1551.6719317982456,1270.2484798245614,531.0815972222222
247,0,0,0,4413,12547.35245172,126.39535325026628,1379.1790118740084,1296.1742598232493,126.8600540530576
248,0,0,0,3184,9052.97308096,107.36201993303402,2257.6253238065324,1331.028767022613,1707.609330809197
249,0,0,0,3273,9306.02415012,108.8521839569295,1071.456713229453,1237.0226974641,173.19025115357914
250,0,0,0,5120,14557.5446528,136.1441938761726,2345.1956122265624,1291.8673098828124,341.65565048217775
251,0,0,0,9546,27141.85962024,185.8980607379756,170.80079040435785,1415.8556485019903,1740.682719891189
252,0,0,0,2422,6886.40100568,93.63780262979141,1308.5037316267546,1254.9031791907514,78.62469954402289
253,0,0,0,6121,17403.65836324,148.85908118464928,2407.470190524424,1300.2406380003267,1309.7688259804238
254,0,0,0,2200,6255.194968,89.2432719777015,1822.069397272727,1327.4463873636364,848.5629171487604
255,0,0,0,2079,5911.15924476,86.75437571474576,163.3375466089466,1271.73058008658,14.88599918421948
256,0,0,0,1765,5018.3723266,79.93491162459443,1614.3764781869686,1270.6859272521244,206.19453169514242
257,0,0,0,6058,17224.53232552,148.091038541909,1894.9439334103663,1359.74661416309,3898.23544694126
258,0,0,0,1416,4026.0709430399997,71.597155911305,1123.9868625706215,1268.4761021186441,14.954797771234322
259,0,0,0,4528,12874.32855232,128.03165321406587,907.3312606890458,1387.7854253091873,1567.2654581446109
260,0,0,0,3107,8834.04125708,106.05588464736968,780.6856353395558,1314.0691734792404,309.49983223612617
261,0,0,0,2184,6209.70264096,88.9181587951339,1003.9800022893771,1309.1713933150183,55.38447449985911
262,0,0,0,2042,5805.95823848,85.97892546614922,2138.1973880509304,1312.3408887365326,53.11084488234826
263,0,0,0,3336,9485.15018784,109.89480564116779,477.39627679856113,1384.1397122302158,393.1802183253397
264,0,0,0,3481,9897.42440164,112.25770414183076,345.87347963228956,1355.6500626831369,405.90844211045624
265,0,0,0,7964,22643.80578416,169.79690505923634,1121.051141536916,1380.154911727775,1555.776816492902
266,0,0,0,5695,16192.4251558,143.5856400672748,1588.832386971027,1411.200765689201,150.9900465343581
267,0,0,0,1961,5575.65333284,84.25640813081397,1583.7287403365629,1336.2485800101988,148.227334605636
268,0,0,0,1681,4779.53760964,78.00959101381459,1470.096567876264,1367.6516423557405,48.91136228435455
269,0,0,0,2065,5871.3534586,86.46178002219875,1727.8315839225181,1337.089641937046,53.0294569353165
270,0,0,0,3106,8831.19798664,106.03881602496135,1256.2705740502254,1355.5310768834513,30.89488885728513
271,0,0,0,2611,7423.77911884,97.22267814397136,1927.059236231329,1357.6163863653771,74.34324949639308
